Операция,col_median
0.0,0:01:36
1.0,0:00:17
2.0,0:00:37
4.0,0:00:22.500000
6.0,0:00:12
7.0,0:00:14
8.0,0:00:11
9.0,0:01:14
14.0,0:00:03
15.0,0:00:12
16.0,0:00:28
19.0,0:00:20.500000
21.0,0:01:41
22.0,0:02:06
27.0,0:00:24
31.0,0:00:10
37.0,0:00:13
41.0,0:00:02
267.0,0:00:03
290.0,0:01:11
292.0,0:01:54.500000
293.0,0:01:43
294.0,0:00:26
298.0,0:00:21
299.0,0:00:04
416.0,0:00:12
552.0,0:00:05
758.0,0:00:01
759.0,0:00:01
860.0,0:02:23.500000
861.0,0:00:06
2001.0,0:00:19
2002.0,0:00:08
2003.0,0:00:17
2006.0,0:00:03
2007.0,0:00:03
2010.0,0:00:28
2013.0,0:07:12
3330.0,0:02:01
9001.0,0:00:20
9002.0,0:00:42
9003.0,0:00:02
9008.0,0:02:51.500000
